avgTemp,minTemp,maxTemp,rainfall,price
12.1,8.2,16.8,2.4,2243.0
10.2,5.9,15.4,0.7,2117.0
13.3,4.1,19.9,0.6,1978.0
17.0,13.3,21.3,37.3,1978.0
15.1,11.2,18.7,2.3,1978.0
15.3,9.5,21.9,0.0,1889.0
16.0,10.8,22.5,0.0,1769.0
14.4,7.4,21.3,0.0,1735.0
15.1,8.5,21.8,0.0,1735.0
14.9,9.5,19.3,1.1,1650.0
17.9,13.7,24.2,1.2,1650.0
18.4,12.3,25.5,0.0,1650.0
19.7,14.1,24.6,5.7,1594.0
18.5,15.2,22.6,41.3,1594.0
15.8,14.0,18.1,46.4,1611.0
15.1,11.6,19.3,2.9,1593.0
16.2,10.0,22.2,0.0,1585.0
17.6,11.1,24.3,0.0,1585.0
17.7,9.3,25.6,0.0,1585.0
16.6,11.2,22.5,0.0,1590.0
16.2,8.6,23.5,0.0,1349.0
18.9,10.4,26.1,0.0,1313.0
20.4,15.0,25.8,0.1,1217.0
20.2,16.4,24.5,3.3,1220.0
17.5,14.3,22.1,4.4,1220.0
16.9,13.0,22.1,1.8,1220.0
15.7,12.0,20.4,3.5,1282.0
18.0,9.8,26.1,0.0,1272.0
18.8,13.2,24.8,0.0,1263.0
16.3,14.3,19.0,6.2,1150.0
16.7,14.0,20.1,0.7,1142.0
18.6,13.5,24.9,0.0,1142.0
19.5,13.9,26.1,0.0,1142.0
19.0,13.6,25.2,0.0,1192.0
17.2,15.3,20.0,2.0,1196.0
17.6,14.5,22.2,11.6,1169.0
18.5,14.7,24.3,0.0,1212.0
19.6,14.2,26.1,0.0,1212.0
20.8,16.5,26.0,0.1,1212.0
21.5,16.1,28.3,0.0,1212.0
21.3,14.6,27.8,0.0,1212.0
21.5,15.1,28.3,0.0,1250.0
22.1,15.7,28.8,0.4,1236.0
21.2,17.3,25.6,0.3,1227.0
21.2,17.7,25.1,2.8,1222.0
22.9,17.0,29.6,1.4,1222.0
22.2,17.6,28.3,0.8,1222.0
20.7,16.8,25.8,0.1,1211.0
21.3,15.8,27.4,0.0,1211.0
21.7,17.0,27.2,0.1,1216.0
22.6,17.2,28.5,0.0,1292.0
22.0,16.6,28.1,0.0,1287.0
22.3,18.2,27.3,1.5,1287.0
23.1,17.1,29.5,0.0,1287.0
23.3,17.5,29.9,0.8,1201.0
24.8,18.5,31.5,0.1,1167.0
23.8,20.9,27.3,22.1,1178.0
25.2,22.5,28.4,21.6,1178.0
22.1,19.8,25.5,52.1,1179.0
19.7,18.4,21.8,54.1,1179.0
20.6,18.3,23.2,48.3,1179.0
21.7,18.6,25.2,3.4,1200.0
23.8,18.4,29.6,4.7,1199.0
24.7,21.8,28.8,34.0,1189.0
24.6,21.9,28.2,19.4,1318.0
25.1,21.9,29.6,0.8,1385.0
26.0,22.2,30.7,2.1,1385.0
24.2,22.1,26.5,49.1,1385.0
24.3,20.5,29.0,9.0,1465.0
24.2,19.0,30.4,0.0,1492.0
22.8,19.5,27.0,4.2,1614.0
23.2,20.9,25.7,21.8,1653.0
24.4,22.5,27.3,22.6,1718.0
23.2,21.2,26.1,84.4,1718.0
23.2,21.0,26.6,57.2,1718.0
23.2,20.7,27.0,20.6,1734.0
24.0,21.8,26.8,30.7,1786.0
24.9,22.8,27.2,8.9,1923.0
25.3,23.3,28.6,20.4,2158.0
26.1,23.2,30.1,6.8,2198.0
26.2,22.8,30.5,9.3,2198.0
26.4,22.6,31.4,2.9,2198.0
27.1,22.8,32.0,0.1,2287.0
27.5,23.7,31.8,0.7,2287.0
26.7,22.4,31.8,0.0,2331.0
24.4,20.8,28.9,1.4,2648.0
23.0,20.1,26.6,3.6,2743.0
24.5,21.4,29.1,2.1,2743.0
23.9,22.1,27.0,14.1,2743.0
24.6,21.6,28.6,6.0,3003.0
26.0,22.6,29.8,17.5,3075.0
26.2,24.0,29.0,55.6,3155.0
26.9,24.0,30.7,12.1,3435.0
26.9,23.9,31.4,7.7,3548.0
26.4,23.7,30.6,6.5,3548.0
25.7,23.2,29.2,13.3,3548.0
25.2,23.3,28.2,33.6,3723.0
25.5,23.3,28.8,13.0,3764.0
26.3,23.4,30.6,9.3,3975.0
26.9,23.4,31.8,2.9,3979.0
27.9,23.3,33.2,0.1,3976.0
27.4,24.1,31.8,2.5,3976.0
27.5,24.4,30.8,32.9,3976.0
26.6,23.9,29.9,28.8,4294.0
25.1,23.3,27.5,35.9,4294.0
26.0,23.9,29.3,11.9,4294.0
27.0,24.1,31.5,5.9,4430.0
26.3,23.9,30.2,15.6,4043.0
26.0,23.5,29.7,6.4,4043.0
26.1,23.5,30.6,4.4,4043.0
26.2,23.3,30.1,1.7,4043.0
26.5,23.7,30.6,12.6,3913.0
25.3,23.6,28.1,25.6,3930.0
24.7,22.2,28.7,5.6,3930.0
22.9,20.7,25.5,3.5,3993.0
21.1,19.1,23.7,15.0,3993.0
22.5,18.3,27.9,2.9,3993.0
21.7,18.6,25.7,2.0,3993.0
21.7,17.9,25.7,3.3,4047.0
22.4,19.4,25.9,2.0,3973.0
23.4,20.1,27.5,0.4,4109.0
23.9,21.0,27.7,1.4,4098.0
25.0,21.8,29.5,0.8,4098.0
